#total oil volume 426988874.73722410.000000	175406.482434
20.000000	175367.427524
30.000000	175355.791630
40.000000	175333.834679
50.000000	175310.828179
60.000000	175289.419504
70.000000	175270.152069
80.000000	175252.954832
90.000000	175237.581395
100.000000	175223.765030
110.000000	175211.265360
120.000000	175199.879429
130.000000	175189.440048
140.000000	175179.810621
150.000000	175170.879560
160.000000	175162.555331
170.000000	175154.762393
180.000000	175147.437955
190.000000	175140.529426
200.000000	175133.992423
210.000000	175127.789211
220.000000	175121.887477
230.000000	175116.259365
240.000000	175110.880702
250.000000	175105.730390
260.000000	175100.789908
270.000000	175096.042912
280.000000	175091.474908
290.000000	175087.072984
300.000000	175082.825586
310.000000	175078.722336
320.000000	175074.753877
330.000000	175070.911740
340.000000	175067.188238
350.000000	175063.576371
360.000000	175060.069744
370.000000	175056.662503
380.000000	175053.349272
390.000000	175050.125101
400.000000	175046.985427
410.000000	175043.926029
420.000000	175040.942998
430.000000	175038.032705
440.000000	175035.191775
450.000000	175032.417066
460.000000	175029.705645
470.000000	175027.054772
480.000000	175024.461880
490.000000	175021.924567
500.000000	175019.440575
510.000000	175017.007786
520.000000	175014.624204
530.000000	175012.287951
540.000000	175009.997254
550.000000	175007.750442
560.000000	175005.545934
570.000000	175003.382235
580.000000	175001.257930
590.000000	174999.171679
600.000000	174997.122209
610.000000	174995.108314
620.000000	174993.128847
630.000000	174991.182718
640.000000	174989.268891
650.000000	174987.386379
660.000000	174985.534242
670.000000	174983.711584
680.000000	174981.917551
690.000000	174980.151327
700.000000	174978.412134
710.000000	174976.699228
720.000000	174975.011898
730.000000	174973.349463
740.000000	174971.711274
750.000000	174970.096706
760.000000	174968.505164
770.000000	174966.936075
780.000000	174965.388891
790.000000	174963.863086
800.000000	174962.358155
810.000000	174960.873614
820.000000	174959.408997
830.000000	174957.963856
840.000000	174956.537762
850.000000	174955.130302
860.000000	174953.741076
870.000000	174952.369701
880.000000	174951.015810
890.000000	174949.679045
900.000000	174948.359065
910.000000	174947.055538
920.000000	174945.768147
930.000000	174944.496582
940.000000	174943.240546
950.000000	174941.999754
960.000000	174940.773925
970.000000	174939.562794
980.000000	174938.366098
990.000000	174937.183588
1000.000000	174936.015020
1010.000000	174934.860157
1020.000000	174933.718772
1030.000000	174932.590641
1040.000000	174931.475551
1050.000000	174930.373291
1060.000000	174929.283659
1070.000000	174928.206457
1080.000000	174927.141494
1090.000000	174926.088582
1100.000000	174925.047539
1110.000000	174924.018188
1120.000000	174923.000356
1130.000000	174921.993874
1140.000000	174920.998578
1150.000000	174920.014306
1160.000000	174919.040901
1170.000000	174918.078210
1180.000000	174917.126080
1190.000000	174916.184364
1200.000000	174915.252918
1210.000000	174914.331599
1220.000000	174913.420267
1230.000000	174912.518785
1240.000000	174911.627018
1250.000000	174910.744832
1260.000000	174909.872097
1270.000000	174909.008684
1280.000000	174908.154463
1290.000000	174907.309310
1300.000000	174906.473099
1310.000000	174905.645707
1320.000000	174904.827012
1330.000000	174904.016893
1340.000000	174903.215228
1350.000000	174902.421898
1360.000000	174901.636786
1370.000000	174900.859772
1380.000000	174900.090738
1390.000000	174899.329568
1400.000000	174898.576145
1410.000000	174897.830351
1420.000000	174897.092071
1430.000000	174896.361187
1440.000000	174895.637584
1450.000000	174894.921144
1460.000000	174894.211750
1470.000000	174893.509286
1480.000000	174892.813634
1490.000000	174892.124676
1500.000000	174891.442294
1510.000000	174890.766368
1520.000000	174890.096779
1530.000000	174889.433407
1540.000000	174888.776130
1550.000000	174888.124827
1560.000000	174887.479375
1570.000000	174886.839651
1580.000000	174886.205528
1590.000000	174885.576883
1600.000000	174884.953588
1610.000000	174884.335514
1620.000000	174883.722534
1630.000000	174883.114516
1640.000000	174882.511330
1650.000000	174881.912841
1660.000000	174881.318916
1670.000000	174880.729419
1680.000000	174880.144213
1690.000000	174879.563160
1700.000000	174878.986119
1710.000000	174878.412948
1720.000000	174877.843506
1730.000000	174877.277647
1740.000000	174876.715225
1750.000000	174876.156092
1760.000000	174875.600098
1770.000000	174875.047093
1780.000000	174874.496924
1790.000000	174873.949436
1800.000000	174873.404473
1810.000000	174872.861877
1820.000000	174872.321489
1830.000000	174871.783147
1840.000000	174871.246688
1850.000000	174870.711948
1860.000000	174870.178759
1870.000000	174869.646954
1880.000000	174869.116363
1890.000000	174868.586813
1900.000000	174868.058131
1910.000000	174867.530142
1920.000000	174867.002668
1930.000000	174866.475532
1940.000000	174865.948551
1950.000000	174865.421545
1960.000000	174864.894328
1970.000000	174864.366716
1980.000000	174863.838521
1990.000000	174863.309553
2000.000000	174862.779623
2010.000000	174862.248536
2020.000000	174861.716101
2030.000000	174861.182120
2040.000000	174860.646396
2050.000000	174860.108730
2060.000000	174859.568922
2070.000000	174859.026770
2080.000000	174858.482070
2090.000000	174857.934617
2100.000000	174857.384204
2110.000000	174856.830623
2120.000000	174856.273664
2130.000000	174855.713117
2140.000000	174855.148768
2150.000000	174854.580405
2160.000000	174854.007811
2170.000000	174853.430771
2180.000000	174852.849066
2190.000000	174852.262478
2200.000000	174851.670786
2210.000000	174851.073768
2220.000000	174850.471202
2230.000000	174849.862863
2240.000000	174849.248527
2250.000000	174848.627968
2260.000000	174848.000958
2270.000000	174847.367268
2280.000000	174846.726670
2290.000000	174846.078933
2300.000000	174845.423826
2310.000000	174844.761117
2320.000000	174844.090572
2330.000000	174843.411958
2340.000000	174842.725040
2350.000000	174842.029581
2360.000000	174841.325347
2370.000000	174840.612100
2380.000000	174839.889601
2390.000000	174839.157613
2400.000000	174838.415897
